カテゴリ	ファイル	日本語文言	想定翻訳キー	優先度
JS	db/demo_data_comprehensive.sql:120	(17, 3, 5, '契約済'),	js.demo_data_comprehensive.l120	P3
JS	db/demo_data_comprehensive.sql:121	(18, 3, 6, '開発パートナー。プロジェクトAlpha協業中。'),	js.demo_data_comprehensive.l121	P3
JS	db/demo_data_comprehensive.sql:122	-- PQRコンサルティング	js.demo_data_comprehensive.l122	P3
JS	db/demo_data_comprehensive.sql:123	(19, 4, 1, '株式会社PQRコンサルティング'),	js.demo_data_comprehensive.l123	P3
JS	db/demo_data_comprehensive.sql:124	(20, 4, 2, '加藤 翔太'),	js.demo_data_comprehensive.l124	P3
JS	db/demo_data_comprehensive.sql:127	(23, 4, 5, '契約済'),	js.demo_data_comprehensive.l127	P3
JS	db/demo_data_comprehensive.sql:128	(24, 4, 6, 'コンサルティング契約中。業務改善プロジェクト。'),	js.demo_data_comprehensive.l128	P3
JS	db/demo_data_comprehensive.sql:129	-- 新興テクノロジー	js.demo_data_comprehensive.l129	P3
JS	db/demo_data_comprehensive.sql:130	(25, 5, 1, '新興テクノロジー株式会社'),	js.demo_data_comprehensive.l130	P3
JS	db/demo_data_comprehensive.sql:131	(26, 5, 2, '森田 隆'),	js.demo_data_comprehensive.l131	P3
JS	db/demo_data_comprehensive.sql:134	(29, 5, 5, '見込み'),	js.demo_data_comprehensive.l134	P3
JS	db/demo_data_comprehensive.sql:135	(30, 5, 6, '展示会で名刺交換。IoT分野で協業の可能性あり。');	js.demo_data_comprehensive.l135	P3
JS	db/demo_data_comprehensive.sql:137	-- Records for 商品マスタ	js.demo_data_comprehensive.l137	P3
JS	db/demo_data_comprehensive.sql:145	(31, 6,  7, 'TeamSpace グループウェア'),	js.demo_data_comprehensive.l145	P3
JS	db/demo_data_comprehensive.sql:147	(33, 6,  9, 'ソフトウェア'),	js.demo_data_comprehensive.l147	P3
JS	db/demo_data_comprehensive.sql:149	(35, 6, 11, '販売中'),	js.demo_data_comprehensive.l149	P3
JS	db/demo_data_comprehensive.sql:150	(36, 6, 12, '中小企業向け統合グループウェア。スケジュール・ワークフロー・ファイル管理等を統合。'),	js.demo_data_comprehensive.l150	P3
JS	db/demo_data_comprehensive.sql:151	(37, 7,  7, 'TeamSpace クラウドホスティング'),	js.demo_data_comprehensive.l151	P3
JS	db/demo_data_comprehensive.sql:153	(39, 7,  9, 'サービス'),	js.demo_data_comprehensive.l153	P3
JS	db/demo_data_comprehensive.sql:155	(41, 7, 11, '販売中'),	js.demo_data_comprehensive.l155	P3
JS	db/demo_data_comprehensive.sql:156	(42, 7, 12, 'TeamSpace専用クラウドホスティングサービス。月額制。'),	js.demo_data_comprehensive.l156	P3
JS	db/demo_data_comprehensive.sql:157	(43, 8,  7, 'TeamSpace 導入支援パック'),	js.demo_data_comprehensive.l157	P3
JS	db/demo_data_comprehensive.sql:159	(45, 8,  9, 'サポート'),	js.demo_data_comprehensive.l159	P3
JS	db/demo_data_comprehensive.sql:161	(47, 8, 11, '販売中'),	js.demo_data_comprehensive.l161	P3
JS	db/demo_data_comprehensive.sql:162	(48, 8, 12, '導入コンサルティング・初期設定・社員研修をパッケージ化。'),	js.demo_data_comprehensive.l162	P3
JS	db/demo_data_comprehensive.sql:163	(49, 9,  7, 'TeamSpace モバイルアプリ'),	js.demo_data_comprehensive.l163	P3
JS	db/demo_data_comprehensive.sql:165	(51, 9,  9, 'ソフトウェア'),	js.demo_data_comprehensive.l165	P3
JS	db/demo_data_comprehensive.sql:167	(53, 9, 11, '準備中'),	js.demo_data_comprehensive.l167	P3
JS	db/demo_data_comprehensive.sql:168	(54, 9, 12, 'iOS/Android対応モバイルアプリ（2026年夏リリース予定）。');	js.demo_data_comprehensive.l168	P3
JS	db/demo_data_comprehensive.sql:170	-- Records for プロジェクト管理	js.demo_data_comprehensive.l170	P3
JS	db/demo_data_comprehensive.sql:177	(55, 10, 13, 'プロジェクトAlpha'),	js.demo_data_comprehensive.l177	P3
JS	db/demo_data_comprehensive.sql:178	(56, 10, 14, '田中花子'),	js.demo_data_comprehensive.l178	P3
JS	db/demo_data_comprehensive.sql:181	(59, 10, 17, '進行中'),	js.demo_data_comprehensive.l181	P3
JS	db/demo_data_comprehensive.sql:183	(61, 11, 13, '社内DX推進'),	js.demo_data_comprehensive.l183	P3
JS	db/demo_data_comprehensive.sql:184	(62, 11, 14, '鈴木一郎'),	js.demo_data_comprehensive.l184	P3
JS	db/demo_data_comprehensive.sql:187	(65, 11, 17, '進行中'),	js.demo_data_comprehensive.l187	P3
JS	db/demo_data_comprehensive.sql:189	(67, 12, 13, 'モバイルアプリ開発'),	js.demo_data_comprehensive.l189	P3
JS	db/demo_data_comprehensive.sql:190	(68, 12, 14, '田中花子'),	js.demo_data_comprehensive.l190	P3
JS	db/demo_data_comprehensive.sql:193	(71, 12, 17, '企画'),	js.demo_data_comprehensive.l193	P3
JS	db/demo_data_comprehensive.sql:200	(3, 2, '2026-03-26', '3/26 営業日報',	js.demo_data_comprehensive.l200	P3
JS	db/demo_data_comprehensive.sql:201	'【本日の業務】	js.demo_data_comprehensive.l201	P3
JS	db/demo_data_comprehensive.sql:202	・ABC商事様訪問（13:00-15:00）→ デモ実施、好感触	js.demo_data_comprehensive.l202	P3
JS	db/demo_data_comprehensive.sql:203	・DEF工業様向け見積書作成・送付	js.demo_data_comprehensive.l203	P3
JS	db/demo_data_comprehensive.sql:204	・新規リード3件のフォローアップ電話	js.demo_data_comprehensive.l204	P3
JS	db/demo_data_comprehensive.sql:206	【商談状況】	js.demo_data_comprehensive.l206	P3
JS	db/demo_data_comprehensive.sql:207	・ABC商事様：デモに対する反応は非常に良好。来週中に社内稟議を上げていただける見込み。	js.demo_data_comprehensive.l207	P3
モーダル	db/demo_data_comprehensive.sql:208	・DEF工業様：見積書を本日送付。来週月曜に電話確認予定。	modal.demo_data_comprehensive.l208	P1
JS	db/demo_data_comprehensive.sql:210	【明日の予定】	js.demo_data_comprehensive.l210	P3
JS	db/demo_data_comprehensive.sql:211	・提案資料修正（ABC商事様フィードバック反映）	js.demo_data_comprehensive.l211	P3
JS	db/demo_data_comprehensive.sql:212	・新規見込み客リストの電話アプローチ	js.demo_data_comprehensive.l212	P3
JS	db/demo_data_comprehensive.sql:213	・月末営業数値まとめ	js.demo_data_comprehensive.l213	P3
JS	db/demo_data_comprehensive.sql:215	【所感】	js.demo_data_comprehensive.l215	P3
JS	db/demo_data_comprehensive.sql:216	ABC商事様のデモが順調に進み、4月の受注目標達成に向けて大きく前進。', 'published', 0),	js.demo_data_comprehensive.l216	P3
JS	db/demo_data_comprehensive.sql:218	(4, 3, '2026-03-26', '3/26 開発日報',	js.demo_data_comprehensive.l218	P3
JS	db/demo_data_comprehensive.sql:219	'【本日の業務】	js.demo_data_comprehensive.l219	P3
JS	db/demo_data_comprehensive.sql:220	・プロジェクトAlpha：APIエンドポイント実装（5/5件完了！）	js.demo_data_comprehensive.l220	P3
JS	db/demo_data_comprehensive.sql:221	・単体テスト作成（カバレッジ85%達成）	js.demo_data_comprehensive.l221	P3
JS	db/demo_data_comprehensive.sql:222	・コードレビュー実施（PR #42, #43）	js.demo_data_comprehensive.l222	P3
JS	db/demo_data_comprehensive.sql:224	【進捗】	js.demo_data_comprehensive.l224	P3
JS	db/demo_data_comprehensive.sql:225	・API実装フェーズ完了。来週からフロントエンド連携テストに入る。	js.demo_data_comprehensive.l225	P3
モーダル	db/demo_data_comprehensive.sql:226	・セキュリティパッチの適用完了、動作確認済み。	modal.demo_data_comprehensive.l226	P1
JS	db/demo_data_comprehensive.sql:228	【課題・相談事項】	js.demo_data_comprehensive.l228	P3
JS	db/demo_data_comprehensive.sql:229	・フロントエンド連携テストの環境構築について、インフラチームとの調整が必要。	js.demo_data_comprehensive.l229	P3
JS	db/demo_data_comprehensive.sql:230	・パフォーマンステストのシナリオ作成を来週開始予定。	js.demo_data_comprehensive.l230	P3
JS	db/demo_data_comprehensive.sql:232	【明日の予定】	js.demo_data_comprehensive.l232	P3
JS	db/demo_data_comprehensive.sql:233	・テスト環境のセットアップ	js.demo_data_comprehensive.l233	P3
JS	db/demo_data_comprehensive.sql:234	・結合テスト計画書の作成', 'published', 0),	js.demo_data_comprehensive.l234	P3
JS	db/demo_data_comprehensive.sql:236	(5, 5, '2026-03-26', '3/26 経理日報',	js.demo_data_comprehensive.l236	P3
JS	db/demo_data_comprehensive.sql:237	'【本日の業務】	js.demo_data_comprehensive.l237	P3
JS	db/demo_data_comprehensive.sql:238	・3月度仕訳入力（90%完了）	js.demo_data_comprehensive.l238	P3
モーダル	db/demo_data_comprehensive.sql:239	・売掛金残高確認・消込処理	modal.demo_data_comprehensive.l239	P1
JS	db/demo_data_comprehensive.sql:240	・月次決算準備（固定資産台帳更新）	js.demo_data_comprehensive.l240	P3
モーダル	db/demo_data_comprehensive.sql:241	・経費精算書の確認・承認処理（5件）	modal.demo_data_comprehensive.l241	P1
JS	db/demo_data_comprehensive.sql:243	【明日の予定】	js.demo_data_comprehensive.l243	P3
JS	db/demo_data_comprehensive.sql:244	・月次決算処理（残業予定あり）	js.demo_data_comprehensive.l244	P3
JS	db/demo_data_comprehensive.sql:245	・試算表作成	js.demo_data_comprehensive.l245	P3
JS	db/demo_data_comprehensive.sql:246	・銀行残高照合	js.demo_data_comprehensive.l246	P3
JS	db/demo_data_comprehensive.sql:248	【連絡事項】	js.demo_data_comprehensive.l248	P3
JS	db/demo_data_comprehensive.sql:249	・3月分の経費精算は明日27日が最終締切です。未提出の方は本日中にワークフローから提出をお願いします。', 'published', 0),	js.demo_data_comprehensive.l249	P3
JS	db/demo_data_comprehensive.sql:251	(6, 4, '2026-03-26', '3/26 総務日報',	js.demo_data_comprehensive.l251	P3
JS	db/demo_data_comprehensive.sql:252	'【本日の業務】	js.demo_data_comprehensive.l252	P3
JS	db/demo_data_comprehensive.sql:253	・4月入社式の準備（式次第作成、会場レイアウト確定）	js.demo_data_comprehensive.l253	P3
JS	db/demo_data_comprehensive.sql:254	・ABC商事様来社対応（応接室準備、お茶手配）	js.demo_data_comprehensive.l254	P3
JS	db/demo_data_comprehensive.sql:255	・備品棚卸し準備（チェックリスト配布）	js.demo_data_comprehensive.l255	P3
JS	db/demo_data_comprehensive.sql:256	・社内研修の受講者取りまとめ	js.demo_data_comprehensive.l256	P3
JS	db/demo_data_comprehensive.sql:258	【明日の予定】	js.demo_data_comprehensive.l258	P3
JS	db/demo_data_comprehensive.sql:259	・入社式リハーサル	js.demo_data_comprehensive.l259	P3
JS	db/demo_data_comprehensive.sql:260	・新入社員の備品準備（PC・携帯・名刺発注）	js.demo_data_comprehensive.l260	P3
JS	db/demo_data_comprehensive.sql:261	・月末棚卸し実施	js.demo_data_comprehensive.l261	P3
JS	db/demo_data_comprehensive.sql:263	【連絡事項】	js.demo_data_comprehensive.l263	P3
バリデーション	db/demo_data_comprehensive.sql:264	・4月10日の情報セキュリティ研修は全社員必須です。スケジュール調整をお願いします。', 'published', 0),	validation.demo_data_comprehensive.l264	P1
JS	db/demo_data_comprehensive.sql:266	(7, 2, '2026-03-24', '3/24 営業日報',	js.demo_data_comprehensive.l266	P3
JS	db/demo_data_comprehensive.sql:267	'【本日の業務】	js.demo_data_comprehensive.l267	P3
JS	db/demo_data_comprehensive.sql:268	・プロジェクトAlpha定例会参加（14:00-15:30）	js.demo_data_comprehensive.l268	P3
JS	db/demo_data_comprehensive.sql:269	・新規営業リスト50件の整理・優先順位付け	js.demo_data_comprehensive.l269	P3
モーダル	db/demo_data_comprehensive.sql:270	・ABC商事様向けデモ環境の最終確認	modal.demo_data_comprehensive.l270	P1
JS	db/demo_data_comprehensive.sql:272	【明日の予定】	js.demo_data_comprehensive.l272	P3
JS	db/demo_data_comprehensive.sql:273	・ABC商事様提案資料の最終調整	js.demo_data_comprehensive.l273	P3
JS	db/demo_data_comprehensive.sql:274	・週次営業会議の準備	js.demo_data_comprehensive.l274	P3
JS	db/demo_data_comprehensive.sql:275	・DEF工業様フォロー電話	js.demo_data_comprehensive.l275	P3
JS	db/demo_data_comprehensive.sql:277	【所感】	js.demo_data_comprehensive.l277	P3
モーダル	db/demo_data_comprehensive.sql:278	Alpha定例会で開発進捗を確認。予定通り進んでおり、デモでの訴求ポイントを再整理できた。', 'published', 0),	modal.demo_data_comprehensive.l278	P1
JS	db/demo_data_comprehensive.sql:280	(8, 3, '2026-03-24', '3/24 開発日報',	js.demo_data_comprehensive.l280	P3
JS	db/demo_data_comprehensive.sql:281	'【本日の業務】	js.demo_data_comprehensive.l281	P3
JS	db/demo_data_comprehensive.sql:282	・プロジェクトAlpha定例会（14:00-15:30）	js.demo_data_comprehensive.l282	P3
JS	db/demo_data_comprehensive.sql:283	・APIエンドポイント実装（4/5件完了）	js.demo_data_comprehensive.l283	P3
JS	db/demo_data_comprehensive.sql:284	・バグ修正（Issue #38: ページネーション不具合）	js.demo_data_comprehensive.l284	P3
JS	db/demo_data_comprehensive.sql:286	【課題】	js.demo_data_comprehensive.l286	P3
モーダル	db/demo_data_comprehensive.sql:287	・外部API連携の仕様について、ABC商事様経由で確認中の項目あり。山田さんに依頼済み。	modal.demo_data_comprehensive.l287	P1
JS	db/demo_data_comprehensive.sql:289	【明日の予定】	js.demo_data_comprehensive.l289	P3
JS	db/demo_data_comprehensive.sql:290	・APIエンドポイント実装（残り1件）	js.demo_data_comprehensive.l290	P3
JS	db/demo_data_comprehensive.sql:291	・単体テスト作成開始', 'published', 0);	js.demo_data_comprehensive.l291	P3
JS	db/demo_data_comprehensive.sql:297	(3, 'プロジェクトAlpha 進捗報告',	js.demo_data_comprehensive.l297	P3
JS	db/demo_data_comprehensive.sql:298	'皆さん	js.demo_data_comprehensive.l298	P3
JS	db/demo_data_comprehensive.sql:300	お疲れ様です。田中です。	js.demo_data_comprehensive.l300	P3
JS	db/demo_data_comprehensive.sql:301	プロジェクトAlphaの進捗をご報告します。	js.demo_data_comprehensive.l301	P3
JS	db/demo_data_comprehensive.sql:303	■ 完了項目	js.demo_data_comprehensive.l303	P3
JS	db/demo_data_comprehensive.sql:304	・API設計（全エンドポイント確定）	js.demo_data_comprehensive.l304	P3
JS	db/demo_data_comprehensive.sql:305	・データベース設計（テーブル定義完了）	js.demo_data_comprehensive.l305	P3
JS	db/demo_data_comprehensive.sql:306	・APIエンドポイント実装（5/5件完了）	js.demo_data_comprehensive.l306	P3
JS	db/demo_data_comprehensive.sql:308	■ 今後の予定	js.demo_data_comprehensive.l308	P3
JS	db/demo_data_comprehensive.sql:309	・3/30週：フロントエンド連携テスト	js.demo_data_comprehensive.l309	P3
JS	db/demo_data_comprehensive.sql:310	・4/6週：パフォーマンステスト	js.demo_data_comprehensive.l310	P3
JS	db/demo_data_comprehensive.sql:311	・4/13週：ユーザー受入テスト	js.demo_data_comprehensive.l311	P3
JS	db/demo_data_comprehensive.sql:313	順調に進んでいます。何かご質問があればお気軽にどうぞ。',	js.demo_data_comprehensive.l313	P3
JS	db/demo_data_comprehensive.sql:316	(4, 'Re: プロジェクトAlpha 進捗報告',	js.demo_data_comprehensive.l316	P3
JS	db/demo_data_comprehensive.sql:317	'田中さん	js.demo_data_comprehensive.l317	P3
JS	db/demo_data_comprehensive.sql:319	報告ありがとうございます。	js.demo_data_comprehensive.l319	P3
JS	db/demo_data_comprehensive.sql:320	順調な進捗で安心しました。	js.demo_data_comprehensive.l320	P3
JS	db/demo_data_comprehensive.sql:322	ABC商事様にもデモ時にこの進捗状況をお伝えしました。	js.demo_data_comprehensive.l322	P3
JS	db/demo_data_comprehensive.sql:323	先方も非常に期待されています。	js.demo_data_comprehensive.l323	P3
モーダル	db/demo_data_comprehensive.sql:325	外部API連携の仕様確認については、先方の伊藤さん（GHIシステムズ）に	modal.demo_data_comprehensive.l325	P1
モーダル	db/demo_data_comprehensive.sql:326	直接確認していただいて問題ありません。	modal.demo_data_comprehensive.l326	P1
JS	db/demo_data_comprehensive.sql:327	連絡先は共有アドレス帳に登録済みです。	js.demo_data_comprehensive.l327	P3
JS	db/demo_data_comprehensive.sql:329	山田',	js.demo_data_comprehensive.l329	P3
JS	db/demo_data_comprehensive.sql:332	(5, '4月度 社内研修のご案内',	js.demo_data_comprehensive.l332	P3
JS	db/demo_data_comprehensive.sql:333	'社員各位	js.demo_data_comprehensive.l333	P3
JS	db/demo_data_comprehensive.sql:335	お疲れ様です。総務部の鈴木です。	js.demo_data_comprehensive.l335	P3
JS	db/demo_data_comprehensive.sql:337	4月度の社内研修について以下の通りご案内いたします。	js.demo_data_comprehensive.l337	P3
JS	db/demo_data_comprehensive.sql:339	■ ビジネスマナー研修（新入社員向け）	js.demo_data_comprehensive.l339	P3
JS	db/demo_data_comprehensive.sql:340	日時：4月2日（木）10:00-17:00	js.demo_data_comprehensive.l340	P3
JS	db/demo_data_comprehensive.sql:341	場所：会議室A	js.demo_data_comprehensive.l341	P3
バリデーション	db/demo_data_comprehensive.sql:343	■ 情報セキュリティ研修（全社員必須）	validation.demo_data_comprehensive.l343	P1
JS	db/demo_data_comprehensive.sql:344	日時：4月10日（金）14:00-16:00	js.demo_data_comprehensive.l344	P3
JS	db/demo_data_comprehensive.sql:345	場所：会議室A（オンライン同時配信あり）	js.demo_data_comprehensive.l345	P3
バリデーション	db/demo_data_comprehensive.sql:347	情報セキュリティ研修は全社員必須受講です。	validation.demo_data_comprehensive.l347	P1
JS	db/demo_data_comprehensive.sql:348	やむを得ず参加できない方は、4月17日の補講にご参加ください。	js.demo_data_comprehensive.l348	P3
JS	db/demo_data_comprehensive.sql:350	出欠の回答は3月31日までにお願いいたします。',	js.demo_data_comprehensive.l350	P3
JS	db/demo_data_comprehensive.sql:353	(6, '月末経費精算のお願い',	js.demo_data_comprehensive.l353	P3
JS	db/demo_data_comprehensive.sql:354	'社員各位	js.demo_data_comprehensive.l354	P3
JS	db/demo_data_comprehensive.sql:356	お疲れ様です。経理部の佐藤です。	js.demo_data_comprehensive.l356	P3
モーダル	db/demo_data_comprehensive.sql:358	3月度の経費精算について、以下ご確認をお願いいたします。	modal.demo_data_comprehensive.l358	P1
JS	db/demo_data_comprehensive.sql:360	■ 締切：3月27日（金）17:00	js.demo_data_comprehensive.l360	P3
JS	db/demo_data_comprehensive.sql:361	■ 提出方法：ワークフローの「経費精算」テンプレートから申請	js.demo_data_comprehensive.l361	P3
JS	db/demo_data_comprehensive.sql:363	領収書の添付をお忘れなく。	js.demo_data_comprehensive.l363	P3
JS	db/demo_data_comprehensive.sql:364	不明点がございましたら経理部までお問い合わせください。',	js.demo_data_comprehensive.l364	P3
JS	db/demo_data_comprehensive.sql:367	(7, 'Re: 月末経費精算のお願い',	js.demo_data_comprehensive.l367	P3
JS	db/demo_data_comprehensive.sql:368	'佐藤さん	js.demo_data_comprehensive.l368	P3
モーダル	db/demo_data_comprehensive.sql:370	確認しました。	modal.demo_data_comprehensive.l370	P1
JS	db/demo_data_comprehensive.sql:371	技術書籍購入の経費精算を先日申請済みですが、	js.demo_data_comprehensive.l371	P3
JS	db/demo_data_comprehensive.sql:372	領収書の画像が不鮮明だったかもしれません。	js.demo_data_comprehensive.l372	P3
JS	db/demo_data_comprehensive.sql:373	必要であれば再添付しますのでお知らせください。	js.demo_data_comprehensive.l373	P3
JS	db/demo_data_comprehensive.sql:375	田中',	js.demo_data_comprehensive.l375	P3
JS	db/demo_data_comprehensive.sql:402	(1, 'プロジェクトAlpha', 'プロジェクトAlphaのタスク管理ボード', 'organization', 3, 1, '#e8f5e9', 3, NOW(), NOW()),	js.demo_data_comprehensive.l402	P3
JS	db/demo_data_comprehensive.sql:403	(2, '総務部タスク', '総務部の業務タスク管理', 'organization', 4, 0, '#e3f2fd', 4, NOW(), NOW());	js.demo_data_comprehensive.l403	P3
JS	db/demo_data_comprehensive.sql:413	(1, 1, '未着手', 'まだ開始していないタスク', '#f5f5f5', 1),	js.demo_data_comprehensive.l413	P3
JS	db/demo_data_comprehensive.sql:414	(2, 1, '進行中', '現在作業中のタスク', '#fff3e0', 2),	js.demo_data_comprehensive.l414	P3
JS	db/demo_data_comprehensive.sql:415	(3, 1, 'レビュー', 'レビュー待ちのタスク', '#e8eaf6', 3),	js.demo_data_comprehensive.l415	P3
JS	db/demo_data_comprehensive.sql:416	(4, 1, '完了', '完了したタスク', '#e8f5e9', 4),	js.demo_data_comprehensive.l416	P3
JS	db/demo_data_comprehensive.sql:417	(5, 2, '未対応', '未対応タスク', '#f5f5f5', 1),	js.demo_data_comprehensive.l417	P3
JS	db/demo_data_comprehensive.sql:418	(6, 2, '対応中', '対応中タスク', '#fff3e0', 2),	js.demo_data_comprehensive.l418	P3
JS	db/demo_data_comprehensive.sql:419	(7, 2, '完了', '完了タスク', '#e8f5e9', 3);	js.demo_data_comprehensive.l419	P3
JS	db/demo_data_comprehensive.sql:421	-- Task cards for プロジェクトAlpha board	js.demo_data_comprehensive.l421	P3
JS	db/demo_data_comprehensive.sql:423	-- 未着手	js.demo_data_comprehensive.l423	P3
JS	db/demo_data_comprehensive.sql:424	(1, 1, 'パフォーマンステスト計画策定', 'パフォーマンステストのシナリオ・環境・ツール選定', '2026-04-10', 'high', 'not_started', 0, 1, 3),	js.demo_data_comprehensive.l424	P3
JS	db/demo_data_comprehensive.sql:425	(2, 1, 'ユーザーマニュアル作成', 'エンドユーザー向けの操作マニュアルを作成', '2026-04-20', 'normal', 'not_started', 0, 2, 3),	js.demo_data_comprehensive.l425	P3
JS	db/demo_data_comprehensive.sql:426	-- 進行中	js.demo_data_comprehensive.l426	P3
JS	db/demo_data_comprehensive.sql:427	(3, 2, 'フロントエンド連携テスト環境構築', 'テスト環境のセットアップとCI/CD設定', '2026-03-31', 'highest', 'in_progress', 40, 1, 3),	js.demo_data_comprehensive.l427	P3
JS	db/demo_data_comprehensive.sql:428	(4, 2, '結合テスト計画書作成', 'API結合テストの計画書を作成', '2026-04-03', 'high', 'in_progress', 60, 2, 3),	js.demo_data_comprehensive.l428	P3
JS	db/demo_data_comprehensive.sql:429	-- レビュー	js.demo_data_comprehensive.l429	P3
JS	db/demo_data_comprehensive.sql:430	(5, 3, 'API仕様書（最終版）', 'API仕様書の最終版をレビュー依頼中', '2026-03-28', 'high', 'in_progress', 90, 1, 3),	js.demo_data_comprehensive.l430	P3
JS	db/demo_data_comprehensive.sql:431	(6, 3, 'データベース設計書', 'DB設計書の最終レビュー', '2026-03-27', 'normal', 'in_progress', 95, 2, 3),	js.demo_data_comprehensive.l431	P3
JS	db/demo_data_comprehensive.sql:432	-- 完了	js.demo_data_comprehensive.l432	P3
JS	db/demo_data_comprehensive.sql:433	(7, 4, 'APIエンドポイント実装（全5件）', 'REST APIの全エンドポイント実装完了', '2026-03-26', 'highest', 'completed', 100, 1, 3),	js.demo_data_comprehensive.l433	P3
JS	db/demo_data_comprehensive.sql:434	(8, 4, '要件定義書v2作成', '顧客フィードバックを反映した要件定義書第2版', '2026-03-20', 'high', 'completed', 100, 2, 3);	js.demo_data_comprehensive.l434	P3
JS	db/demo_data_comprehensive.sql:436	-- Task cards for 総務部タスク board	js.demo_data_comprehensive.l436	P3
JS	db/demo_data_comprehensive.sql:438	(9,  5, '新入社員PC発注', '4月入社3名分のPC・周辺機器の発注', '2026-03-28', 'high', 'not_started', 0, 1, 4),	js.demo_data_comprehensive.l438	P3
モーダル	db/demo_data_comprehensive.sql:439	(10, 5, '名刺デザイン確認', '新入社員用名刺のデザイン確認・発注', '2026-03-30', 'normal', 'not_started', 0, 2, 4),	modal.demo_data_comprehensive.l439	P1
JS	db/demo_data_comprehensive.sql:440	(11, 6, '入社式準備', '4/1入社式の会場設営・式次第準備', '2026-03-31', 'highest', 'in_progress', 70, 1, 4),	js.demo_data_comprehensive.l440	P3
JS	db/demo_data_comprehensive.sql:441	(12, 7, '3月度備品棚卸し準備', 'チェックリスト作成・各部署への配布完了', '2026-03-25', 'normal', 'completed', 100, 1, 4);	js.demo_data_comprehensive.l441	P3
JS	db/demo_data_comprehensive.sql:463	-- 今週残り	js.demo_data_comprehensive.l463	P3
JS	db/demo_data_comprehensive.sql:464	(7, '月次営業レポート作成',	js.demo_data_comprehensive.l464	P3
JS	db/demo_data_comprehensive.sql:465	'3月度の営業実績レポートを作成',	js.demo_data_comprehensive.l465	P3
JS	db/demo_data_comprehensive.sql:468	(8, '月次決算処理',	js.demo_data_comprehensive.l468	P3
JS	db/demo_data_comprehensive.sql:469	'3月度の月次決算処理',	js.demo_data_comprehensive.l469	P3
JS	db/demo_data_comprehensive.sql:473	-- 来週 (3/30 - 4/3)	js.demo_data_comprehensive.l473	P3
JS	db/demo_data_comprehensive.sql:474	(9, '週次営業ミーティング',	js.demo_data_comprehensive.l474	P3
モーダル	db/demo_data_comprehensive.sql:475	'来週の営業戦略共有と進捗確認',	modal.demo_data_comprehensive.l475	P1
JS	db/demo_data_comprehensive.sql:477	0, '会議室A', 2, 'public', 'normal', 'scheduled'),	js.demo_data_comprehensive.l477	P3
JS	db/demo_data_comprehensive.sql:478	(10, 'プロジェクトAlpha 定例会',	js.demo_data_comprehensive.l478	P3
モーダル	db/demo_data_comprehensive.sql:479	'フロントエンド連携テスト進捗確認',	modal.demo_data_comprehensive.l479	P1
JS	db/demo_data_comprehensive.sql:481	0, '会議室B', 3, 'public', 'high', 'scheduled'),	js.demo_data_comprehensive.l481	P3
JS	db/demo_data_comprehensive.sql:482	(11, '棚卸し作業',	js.demo_data_comprehensive.l482	P3
JS	db/demo_data_comprehensive.sql:483	'3月度の備品棚卸し実施',	js.demo_data_comprehensive.l483	P3
JS	db/demo_data_comprehensive.sql:485	0, '各部署', 4, 'public', 'normal', 'scheduled'),	js.demo_data_comprehensive.l485	P3
JS	db/demo_data_comprehensive.sql:486	(12, '入社式',	js.demo_data_comprehensive.l486	P3
JS	db/demo_data_comprehensive.sql:487	'2026年度新入社員の入社式',	js.demo_data_comprehensive.l487	P3
JS	db/demo_data_comprehensive.sql:489	0, '会議室A', 1, 'public', 'high', 'scheduled'),	js.demo_data_comprehensive.l489	P3
JS	db/demo_data_comprehensive.sql:490	(13, '新入社員歓迎ランチ',	js.demo_data_comprehensive.l490	P3
JS	db/demo_data_comprehensive.sql:491	'新入社員との懇親ランチ会',	js.demo_data_comprehensive.l491	P3
JS	db/demo_data_comprehensive.sql:493	0, '社外レストラン', 4, 'public', 'normal', 'scheduled'),	js.demo_data_comprehensive.l493	P3
JS	db/demo_data_comprehensive.sql:494	(14, 'ビジネスマナー研修',	js.demo_data_comprehensive.l494	P3
JS	db/demo_data_comprehensive.sql:495	'新入社員向けビジネスマナー研修',	js.demo_data_comprehensive.l495	P3
JS	db/demo_data_comprehensive.sql:497	0, '会議室A', 4, 'public', 'normal', 'scheduled'),	js.demo_data_comprehensive.l497	P3
JS	db/demo_data_comprehensive.sql:498	(15, 'DEF工業 フォロー電話',	js.demo_data_comprehensive.l498	P3
モーダル	db/demo_data_comprehensive.sql:499	'見積書に対する回答確認の電話',	modal.demo_data_comprehensive.l499	P1
JS	db/demo_data_comprehensive.sql:503	-- 再来週 (4/6 - 4/10)	js.demo_data_comprehensive.l503	P3
JS	db/demo_data_comprehensive.sql:504	(16, '週次営業ミーティング',	js.demo_data_comprehensive.l504	P3
JS	db/demo_data_comprehensive.sql:505	'4月第2週の営業戦略共有',	js.demo_data_comprehensive.l505	P3
JS	db/demo_data_comprehensive.sql:507	0, '会議室A', 2, 'public', 'normal', 'scheduled'),	js.demo_data_comprehensive.l507	P3
JS	db/demo_data_comprehensive.sql:508	(17, 'プロジェクトAlpha 定例会',	js.demo_data_comprehensive.l508	P3
JS	db/demo_data_comprehensive.sql:509	'パフォーマンステスト計画レビュー',	js.demo_data_comprehensive.l509	P3
